Algoritmo,Arquivo,Execucao,Parametros,Tempo_Inicio,Tempo_Termino,Tempo_Total,Melhor_Fitness
GA,art_23_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:12.540200,2026-04-28 13:50:47.913265,0:00:35.373065,110.8973762505403
GA,art_23_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:18.963354,2026-04-28 13:51:45.626713,0:01:26.663359,157.31423225209977
GA,art_23_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:19.191285,2026-04-28 13:53:05.613983,0:02:46.422698,355.1387446031417
GA,art_24_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:20.868268,2026-04-28 13:51:51.956207,0:01:31.087939,158.15902709247547
GA,art_24_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:50.104819,2026-04-28 13:54:08.057489,0:03:17.952670,384.18340747367193
GA,art_24_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:50:50.804178,2026-04-28 13:52:08.121115,0:01:17.316937,147.22036522377206
GA,art_24_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:02.152612,2026-04-28 13:52:02.354843,0:01:00.202231,212.39982839781314
GA,art_24_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:07.272695,2026-04-28 13:52:31.923154,0:01:24.650459,141.59907457768185
GA,art_24_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:07.511126,2026-04-28 13:52:21.957418,0:01:14.446292,349.6325326401514
GA,art_25_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:25.354661,2026-04-28 13:52:07.284472,0:00:41.929811,90.28892364165945
GA,art_25_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:28.052985,2026-04-28 13:52:42.103196,0:01:14.050211,144.85818709155643
GA,art_25_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:47.072505,2026-04-28 13:53:50.023147,0:02:02.950642,300.9788680454327
GA,art_25_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:48.739051,2026-04-28 13:53:03.049002,0:01:14.309951,246.86556967311438
GA,art_25_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:54.939409,2026-04-28 13:52:47.195442,0:00:52.256033,260.1130177401658
GA,art_25_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:51:55.430214,2026-04-28 13:53:20.185531,0:01:24.755317,205.25781646164182
GA,art_2_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:06.147362,2026-04-28 13:53:47.327656,0:01:41.180294,196.25684688471645
GA,art_2_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:10.164575,2026-04-28 13:55:41.121155,0:03:30.956580,384.08833328152474
GA,art_2_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:10.958798,2026-04-28 13:54:14.112282,0:02:03.153484,243.95181325436093
GA,art_2_irregular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:11.445276,2026-04-28 13:55:10.146478,0:02:58.701202,348.5574554321834
GA,art_2_regular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:26.174957,2026-04-28 13:52:53.302401,0:00:27.127444,57.27749113888377
GA,art_2_regular_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:35.007254,2026-04-28 13:54:36.405568,0:02:01.398314,311.34086575873147
GA,art_3_hole_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:45.103486,2026-04-28 13:53:36.704223,0:00:51.600737,229.01575737709973
GA,art_3_hole_sep,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:47.490410,2026-04-28 13:53:42.747651,0:00:55.257241,96.95516177161103
GA,art_3_irregular_pack,1,"Pop=5000, CXPB=0.75, MUTPB=0.15, Parada=100",2026-04-28 13:52:51.329443,2026-04-28 13:54:34.903471,0:01:43.574028,331.31159302359436
